video_id,title,video_type,source_channel,published_at,published_date,published_year,published_month,view_count,like_count,comment_count,duration,thumbnail
ecWolGKHX4E,아기자기 🍬👼🏻🍯 #HOSHI #호시 #SEVENTEEN #세븐틴 #아기자기 #BabyHoney,솔로,seventeen_official,2026-03-14T10:00:11Z,2026-03-14,2026,03,377000,40572,339,0.9,https://i.ytimg.com/vi/ecWolGKHX4E/hqdefault.jpg
yxFheX3U7rw,#아기자기 🍬👼🏻🍯 with #지훈 #JIHOON #경민 #KYUNGMIN #TWS #투어스 #HOSHI #호시 #SEVENTEEN #세븐틴 #BabyHoney,솔로,seventeen_official,2026-03-14T10:59:56Z,2026-03-14,2026,03,442159,43154,390,0.8333333333333334,https://i.ytimg.com/vi/yxFheX3U7rw/hqdefault.jpg
MTOLXEojYvA,[INSIDE SEVENTEEN] SEVENTEEN WORLD TOUR [NEW_] BEHIND #3,INSIDE SEVENTEEN,seventeen_official,2026-03-13T13:00:02Z,2026-03-13,2026,03,158302,12180,303,25.8,https://i.ytimg.com/vi/MTOLXEojYvA/hqdefault.jpg
Ou_WTKi1jlY,#Blue ❄️ by #하성운 #HASUNGWOON #DxS #도겸X승관 #소야곡 #Serenade,기타(릴스),seventeen_official,2026-03-11T11:00:16Z,2026-03-11,2026,03,123952,8646,210,0.8333333333333334,https://i.ytimg.com/vi/Ou_WTKi1jlY/hqdefault.jpg
TJWUc875kpU,[GOING SEVENTEEN SPECIAL] 2026 고잉 긴급 회의 (Agenda: GOING SEVENTEEN 2026),고잉세븐틴,seventeen_official,2026-03-11T12:00:04Z,2026-03-11,2026,03,979345,61326,5362,15.9,https://i.ytimg.com/vi/TJWUc875kpU/hqdefault.jpg
E8WQYrm_dOM,NO BATIDÃO,기타(릴스),seventeen_official,2026-03-09T12:00:19Z,2026-03-09,2026,03,521281,40186,629,0.2833333333333333,https://i.ytimg.com/vi/E8WQYrm_dOM/hqdefault.jpg
ggIO6_bZvH4,도겸이의 진지한 리듬 게임 🎹,기타(릴스),seventeen_official,2026-03-09T11:01:08Z,2026-03-09,2026,03,704505,37527,555,0.45,https://i.ytimg.com/vi/ggIO6_bZvH4/hqdefault.jpg
Y-Zkj_x_N4s,"Singapore, Thank You! 🇸🇬 [NEW_] #SEVENTEEN #세븐틴 #SVT_WORLDTOUR #NEW_SINGAPORE #SVT_TOUR_NEW_",INSIDE SEVENTEEN,seventeen_official,2026-03-08T11:00:53Z,2026-03-08,2026,03,168187,16533,172,0.95,https://i.ytimg.com/vi/Y-Zkj_x_N4s/hqdefault.jpg
wb46stDEmRA,과니차니 아웅다웅 🫂,기타(릴스),seventeen_official,2026-03-08T13:01:39Z,2026-03-08,2026,03,305522,35096,391,0.4666666666666667,https://i.ytimg.com/vi/wb46stDEmRA/hqdefault.jpg
4VzISJrAONA,미워😉,기타(릴스),seventeen_official,2026-03-07T07:00:06Z,2026-03-07,2026,03,346176,32561,406,0.25,https://i.ytimg.com/vi/4VzISJrAONA/hqdefault.jpg
